Station naam;Datum en tijd;Property;Regio;Gemeente;value;Unit
LUC_354724647889382; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.24; ug/m3
LUC_354724647889853; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 4.80; ug/m3
LTD_61004; 2024-06-03T13:00:00.000Z; pm25; ODMH; Bodegraven-Reeuwijk; 3.96; ug/m3
LUC_354724647883435; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 6.29; ug/m3
LUC_354724647889697; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.63; ug/m3
LUC_354724647889549; 2024-06-03T13:00:00.000Z; pm25; DCMR; Nissewaard; 1.80; ug/m3
NBI_SB964; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 0.00; ug/m3
LTD_40910; 2024-06-03T13:00:00.000Z; pm25; DCMR; Vlaardingen; 2.63; ug/m3
LUC_355523767671003; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 6.70; ug/m3
LTD_49775; 2024-06-03T13:00:00.000Z; pm25; ODH; Zoetermeer; 3.80; ug/m3
LUC_355523767494125; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 0.00; ug/m3
LUC_354444115532972; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.54; ug/m3
NBI_SB903; 2024-06-03T13:00:00.000Z; pm25; ODMH; Waddinxveen; 5.40; ug/m3
AMF_pm007; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 0.39; ug/m3
LTD_58877; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 4.64; ug/m3
LUC_355523767662002; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 6.25; ug/m3
LUC_354444115338883; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 4.32; ug/m3
LUC_354724647892881; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.74; ug/m3
LUC_354724647884789; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 4.23; ug/m3
LTD_72972; 2024-06-03T13:00:00.000Z; pm25; ODZH; Dordrecht; 9.54; ug/m3
LUC_354444115534036; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.18; ug/m3
LUC_354724647885943; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.34; ug/m3
LTD_9058; 2024-06-03T13:00:00.000Z; pm25; ODH; Westland; 4.35; ug/m3
LUC_354724647890224; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 6.36; ug/m3
LUC_355523767663737; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 0.00; ug/m3
LUC_354724647885109; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.65; ug/m3
LUC_354444115535207; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.29; ug/m3
LTD_63553; 2024-06-03T13:00:00.000Z; pm25; ODZH; Zwijndrecht; 3.98; ug/m3
LUC_354724647884458; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.04; ug/m3
LTD_78679; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 5.14; ug/m3
LTD_77015; 2024-06-03T13:00:00.000Z; pm25; DCMR; Goeree-Overflakkee; 11.46; ug/m3
NBI_SB932; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 5.40; ug/m3
LUC_354724648049994; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.05; ug/m3
LUC_354724647890307; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 4.71; ug/m3
LTD_75183; 2024-06-03T13:00:00.000Z; pm25; ODWH; Voorschoten; 4.54; ug/m3
NBI_SB921; 2024-06-03T13:00:00.000Z; pm25; ODMH; Bodegraven-Reeuwijk; 0.00; ug/m3
LTD_28997; 2024-06-03T13:00:00.000Z; pm25; ODZH; Dordrecht; 5.60; ug/m3
LTD_60471; 2024-06-03T13:00:00.000Z; pm25; ODWH; Leiden; 3.68; ug/m3
LTD_72529; 2024-06-03T13:00:00.000Z; pm25; ODZH; Dordrecht; 9.18; ug/m3
LUC_354724647885596; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 0.00; ug/m3
LUC_355523767670922; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 2.89; ug/m3
LUC_354724647889630; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.53; ug/m3
LTD_8704; 2024-06-03T13:00:00.000Z; pm25; ODH; Delft; 5.99; ug/m3
LUC_354724647888046; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 0.00; ug/m3
LUC_354724647888491; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.41; ug/m3
LTD_34426; 2024-06-03T13:00:00.000Z; pm25; ODWH; Oegstgeest; 5.26; ug/m3
LUC_354724647889432; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.68; ug/m3
LTD_58876; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 6.59; ug/m3
NBI_SB928; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 2.20; ug/m3
LTD_61048; 2024-06-03T13:00:00.000Z; pm25; ODWH; Leiderdorp; 2.16; ug/m3
LTD_29773; 2024-06-03T13:00:00.000Z; pm25; ODMH; Alphen aan den Rijn; 3.62; ug/m3
LUC_354724647890034; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.21; ug/m3
LTD_22678; 2024-06-03T13:00:00.000Z; pm25; ODH; Den Haag; 2.89; ug/m3
LUC_354444115581706; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.90; ug/m3
LUC_354724647890109; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.56; ug/m3
LTD_63468; 2024-06-03T13:00:00.000Z; pm25; ODMH; Bodegraven-Reeuwijk; 7.53; ug/m3
LTD_58869; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 8.75; ug/m3
LUC_354444115547079; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.00; ug/m3
LTD_65391; 2024-06-03T13:00:00.000Z; pm25; ODH; Zoetermeer; 3.75; ug/m3
LTD_52056; 2024-06-03T13:00:00.000Z; pm25; ODH; Pijnacker-Nootdorp; 4.79; ug/m3
LTD_43337; 2024-06-03T13:00:00.000Z; pm25; ODH; Zoetermeer; 3.81; ug/m3
NBI_SB926; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 4.20; ug/m3
LUC_359215101812023; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.24; ug/m3
LUC_354444115533731; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.89; ug/m3
LUC_355523767494133; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 6.15; ug/m3
LTD_41275; 2024-06-03T13:00:00.000Z; pm25; DCMR; Schiedam; 5.47; ug/m3
LUC_355523767480538; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 6.90; ug/m3
LUC_355523767661954; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 4.93; ug/m3
LUC_354724647886198; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 10.78; ug/m3
LUC_354724647884995; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.00; ug/m3
LTD_8798; 2024-06-03T13:00:00.000Z; pm25; DCMR; Vlaardingen; 3.73; ug/m3
NBI_SB947; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 4.00; ug/m3
LUC_354724647891370; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.93; ug/m3
NBI_SB952; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 0.00; ug/m3
LUC_355523767663729; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 6.70; ug/m3
LTD_8266; 2024-06-03T13:00:00.000Z; pm25; ODWH; Nieuwkoop; 0.00; ug/m3
LTD_26160; 2024-06-03T13:00:00.000Z; pm25; DCMR; Albrandswaard; 5.66; ug/m3
LUC_354724647883948; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.76; ug/m3
LTD_31127; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 5.95; ug/m3
LTD_64579; 2024-06-03T13:00:00.000Z; pm25; ODH; Zoetermeer; 4.33; ug/m3
LTD_57181; 2024-06-03T13:00:00.000Z; pm25; ODH; Zoetermeer; 4.62; ug/m3
LTD_71595; 2024-06-03T13:00:00.000Z; pm25; ODWH; Leiden; 4.06; ug/m3
LTD_8864; 2024-06-03T13:00:00.000Z; pm25; ODMH; Zuidplas; 4.22; ug/m3
GLB_4226569; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 6.35; ug/m3
LTD_44006; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 5.39; ug/m3
LUC_354724647889051; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 0.00; ug/m3
LUC_354444115339220; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 6.81; ug/m3
LTD_77628; 2024-06-03T13:00:00.000Z; pm25; ODZH; Hoeksche Waard; 4.55; ug/m3
LUC_354724647891263; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.94; ug/m3
LUC_359215101860188; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.67; ug/m3
LUC_354724647891214; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.67; ug/m3
LUC_354724647886883; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.61; ug/m3
LUC_354444115534010; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 6.31; ug/m3
LTD_61484; 2024-06-03T13:00:00.000Z; pm25; ODH; Zoetermeer; 5.90; ug/m3
LUC_354724648012836; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.68; ug/m3
LTD_18539; 2024-06-03T13:00:00.000Z; pm25; ODZH; Dordrecht; 6.94; ug/m3
LTD_40024; 2024-06-03T13:00:00.000Z; pm25; ODH; Wassenaar; 3.38; ug/m3
NBI_SB956; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 3.80; ug/m3
LTD_26219; 2024-06-03T13:00:00.000Z; pm25; ODMH; Alphen aan den Rijn; 10.58; ug/m3
LTD_61053; 2024-06-03T13:00:00.000Z; pm25; ODWH; Leiden; 20.81; ug/m3
LUC_354724647892584; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.51; ug/m3
LTD_55482; 2024-06-03T13:00:00.000Z; pm25; ODWH; Katwijk; 7.51; ug/m3
LTD_71592; 2024-06-03T13:00:00.000Z; pm25; ODWH; Leiden; 4.41; ug/m3
LTD_67776; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 5.15; ug/m3
LTD_57399; 2024-06-03T13:00:00.000Z; pm25; ODH; Zoetermeer; 7.71; ug/m3
LTD_75367; 2024-06-03T13:00:00.000Z; pm25; ODH; Delft; 2.86; ug/m3
LTD_34526; 2024-06-03T13:00:00.000Z; pm25; ODWH; Leiderdorp; 4.78; ug/m3
LUC_355523767494026; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 6.60; ug/m3
LUC_356726100944131; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 6.26; ug/m3
LTD_6186; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 3.38; ug/m3
LUC_354724647885505; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.80; ug/m3
LUC_354724647886602; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 6.58; ug/m3
NBI_SB969; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 4.20; ug/m3
LUC_355523767480629; 2024-06-03T13:00:00.000Z; pm25; ODH; Zoetermeer; 6.29; ug/m3
LTD_14077; 2024-06-03T13:00:00.000Z; pm25; ODMH; Alphen aan den Rijn; 0.29; ug/m3
LUC_359215101821552; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.45; ug/m3
NBI_SB930; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 3.00; ug/m3
LTD_45115; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 5.32; ug/m3
LTD_64440; 2024-06-03T13:00:00.000Z; pm25; ODH; Den Haag; 8.33; ug/m3
NBI_SB955; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 5.60; ug/m3
LUC_354724647889580; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 6.80; ug/m3
LUC_354724647889648; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 4.51; ug/m3
LTD_49994; 2024-06-03T13:00:00.000Z; pm25; DCMR; Goeree-Overflakkee; 3.15; ug/m3
LTD_24606; 2024-06-03T13:00:00.000Z; pm25; ODH; Westland; 3.98; ug/m3
LTD_13092; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 5.73; ug/m3
LTD_77032; 2024-06-03T13:00:00.000Z; pm25; ODZH; Dordrecht; 8.74; ug/m3
LTD_25099; 2024-06-03T13:00:00.000Z; pm25; ODMH; Krimpenerwaard; 5.94; ug/m3
OZK_1806; 2024-06-03T13:00:00.000Z; pm25; ODH; Den Haag; 6.97; ug/m3
LUC_354444115534028; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.08; ug/m3
LTD_57064; 2024-06-03T13:00:00.000Z; pm25; ODMH; Bodegraven-Reeuwijk; 3.70; ug/m3
LUC_354724647885232; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 4.54; ug/m3
LTD_38001; 2024-06-03T13:00:00.000Z; pm25; ODMH; Zuidplas; 3.18; ug/m3
LTD_73001; 2024-06-03T13:00:00.000Z; pm25; ODZH; Dordrecht; 6.65; ug/m3
NBI_SB965; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 2.00; ug/m3
LTD_24179; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 2.40; ug/m3
LTD_56706; 2024-06-03T13:00:00.000Z; pm25; ODMH; Waddinxveen; 3.81; ug/m3
LTD_27185; 2024-06-03T13:00:00.000Z; pm25; ODH; Zoetermeer; 3.86; ug/m3
LUC_354724647891255; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.56; ug/m3
LUC_354724647884730; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 6.02; ug/m3
LUC_354724647891222; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.70; ug/m3
LUC_354444115481576; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 0.00; ug/m3
LUC_354444115533046; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 5.74; ug/m3
LUC_359215101822030; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.76; ug/m3
LTD_57135; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 5.90; ug/m3
LUC_354724647886024; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 3.59; ug/m3
LTD_34310; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 3.05; ug/m3
LUC_354444115533822; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 0.00; ug/m3
LUC_354724647886586; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.13; ug/m3
LTD_46289; 2024-06-03T13:00:00.000Z; pm25; DCMR; Lansingerland; 5.79; ug/m3
LTD_58450; 2024-06-03T13:00:00.000Z; pm25; ODWH; Leiden; 3.52; ug/m3
LTD_13901; 2024-06-03T13:00:00.000Z; pm25; ODWH; Leiden; 2.96; ug/m3
LTD_4939; 2024-06-03T13:00:00.000Z; pm25; ODH; Westland; 4.19; ug/m3
LTD_7664; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 3.33; ug/m3
LTD_16817; 2024-06-03T13:00:00.000Z; pm25; ODMH; Bodegraven-Reeuwijk; 6.26; ug/m3
LUC_354724647890117; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.86; ug/m3
LTD_68650; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 9.46; ug/m3
LTD_69914; 2024-06-03T13:00:00.000Z; pm25; ODH; Den Haag; 5.25; ug/m3
LUC_354724647889119; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.08; ug/m3
LUC_354724647889101; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.22; ug/m3
LUC_355523767480512; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 5.95; ug/m3
NBI_SB936; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 2.00; ug/m3
LTD_73074; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 4.56; ug/m3
LTD_46278; 2024-06-03T13:00:00.000Z; pm25; ODMH; Gouda; 1.56; ug/m3
LUC_354724647886156; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 3.83; ug/m3
